"class","site","year","sp","ab"
"Actinopterygii",16,1979,"Micropterus_dolomieui",25
"Actinopterygii",16,1979,"Pimephales_notatus",25
"Actinopterygii",16,1979,"Lepomis_megalotis",34
"Actinopterygii",16,1979,"Noturus_flavus",36
"Actinopterygii",16,1979,"Catostomus_commersoni",38
"Actinopterygii",16,1979,"Hypentilium_nigricans",40
"Actinopterygii",16,1979,"Lepomis_macrochirus",75
"Actinopterygii",16,1979,"Semotilus_atromaculatus",89
"Actinopterygii",16,1979,"Ambloplites_rupestris",90
"Actinopterygii",16,1979,"Etheostoma_blennioides",96
"Actinopterygii",16,1979,"Etheostoma_caeruleum",113
"Actinopterygii",16,1979,"Campostoma_anomalum",173
"Actinopterygii",16,1979,"Notropis_chrysocephalus",180
"Actinopterygii",16,1979,"Etheostoma_flabellare",231
"Actinopterygii",16,1979,"Nocomis_biguttatus",311
"Actinopterygii",17,1980,"Lepomis_megalotis",17
"Actinopterygii",17,1980,"Micropterus_dolomieui",18
"Actinopterygii",17,1980,"Noturus_flavus",21
"Actinopterygii",17,1980,"Catostomus_commersoni",40
"Actinopterygii",17,1980,"Hypentilium_nigricans",52
"Actinopterygii",17,1980,"Lepomis_macrochirus",52
"Actinopterygii",17,1980,"Pimephales_notatus",71
"Actinopterygii",17,1980,"Ambloplites_rupestris",76
"Actinopterygii",17,1980,"Campostoma_anomalum",77
"Actinopterygii",17,1980,"Semotilus_atromaculatus",78
"Actinopterygii",17,1980,"Nocomis_biguttatus",157
"Actinopterygii",17,1980,"Notropis_chrysocephalus",181
"Actinopterygii",17,1980,"Etheostoma_caeruleum",290
"Actinopterygii",17,1980,"Etheostoma_flabellare",436
"Actinopterygii",18,1979,"Lepomis_macrochirus",11
"Actinopterygii",18,1979,"Catostomus_commersoni",17
"Actinopterygii",18,1979,"Micropterus_dolomieui",24
"Actinopterygii",18,1979,"Semotilus_atromaculatus",26
"Actinopterygii",18,1979,"Noturus_flavus",30
"Actinopterygii",18,1979,"Pimephales_notatus",31
"Actinopterygii",18,1979,"Lepomis_megalotis",40
"Actinopterygii",18,1979,"Hypentilium_nigricans",50
"Actinopterygii",18,1979,"Etheostoma_blennioides",59
"Actinopterygii",18,1979,"Ambloplites_rupestris",62
"Actinopterygii",18,1979,"Etheostoma_caeruleum",69
"Actinopterygii",18,1979,"Campostoma_anomalum",76
"Actinopterygii",18,1979,"Notropis_chrysocephalus",115
"Actinopterygii",18,1979,"Nocomis_biguttatus",117
"Actinopterygii",18,1979,"Etheostoma_flabellare",126
"Actinopterygii",19,1980,"Lepomis_megalotis",5
"Actinopterygii",19,1980,"Noturus_flavus",21
"Actinopterygii",19,1980,"Micropterus_dolomieui",25
"Actinopterygii",19,1980,"Catostomus_commersoni",31
"Actinopterygii",19,1980,"Lepomis_macrochirus",33
"Actinopterygii",19,1980,"Etheostoma_blennioides",48
"Actinopterygii",19,1980,"Semotilus_atromaculatus",48
"Actinopterygii",19,1980,"Campostoma_anomalum",50
"Actinopterygii",19,1980,"Ambloplites_rupestris",56
"Actinopterygii",19,1980,"Nocomis_biguttatus",63
"Actinopterygii",19,1980,"Pimephales_notatus",72
"Actinopterygii",19,1980,"Hypentilium_nigricans",75
"Actinopterygii",19,1980,"Notropis_chrysocephalus",113
"Actinopterygii",19,1980,"Etheostoma_caeruleum",202
"Actinopterygii",19,1980,"Etheostoma_flabellare",292
"Actinopterygii",20,1979,"Noturus_flavus",13
"Actinopterygii",20,1979,"Semotilus_atromaculatus",14
"Actinopterygii",20,1979,"Semotilus_atromaculatus",14
"Actinopterygii",20,1979,"Pimephales_notatus",16
"Actinopterygii",20,1979,"Lepomis_macrochirus",18
"Actinopterygii",20,1979,"Catostomus_commersoni",26
"Actinopterygii",20,1979,"Etheostoma_blennioides",33
"Actinopterygii",20,1979,"Etheostoma_caeruleum",39
"Actinopterygii",20,1979,"Lepomis_megalotis",44
"Actinopterygii",20,1979,"Campostoma_anomalum",44
"Actinopterygii",20,1979,"Micropterus_dolomieui",55
"Actinopterygii",20,1979,"Notropis_chrysocephalus",56
"Actinopterygii",20,1979,"Hypentilium_nigricans",57
"Actinopterygii",20,1979,"Ambloplites_rupestris",63
"Actinopterygii",20,1979,"Nocomis_biguttatus",132
"Actinopterygii",20,1979,"Etheostoma_flabellare",172
"Actinopterygii",21,1980,"Lepomis_megalotis",4
"Actinopterygii",21,1980,"Noturus_flavus",5
"Actinopterygii",21,1980,"Etheostoma_caeruleum",13
"Actinopterygii",21,1980,"Etheostoma_blennioides",15
"Actinopterygii",21,1980,"Micropterus_dolomieui",24
"Actinopterygii",21,1980,"Lepomis_macrochirus",27
"Actinopterygii",21,1980,"Catostomus_commersoni",28
"Actinopterygii",21,1980,"Hypentilium_nigricans",38
"Actinopterygii",21,1980,"Ambloplites_rupestris",39
"Actinopterygii",21,1980,"Campostoma_anomalum",39
"Actinopterygii",21,1980,"Nocomis_biguttatus",42
"Actinopterygii",21,1980,"Semotilus_atromaculatus",43
"Actinopterygii",21,1980,"Etheostoma_flabellare",139
"Actinopterygii",21,1980,"Pimephales_notatus",187
"Actinopterygii",21,1980,"Notropis_chrysocephalus",191
"Actinopterygii",36,1980,"Clinocottus_globiceps",1
"Actinopterygii",36,1980,"Artedius_lateralis",1
"Actinopterygii",36,1980,"Gobiesox_meandricus",1
"Actinopterygii",36,1980,"Clinocottus_analis",2
"Actinopterygii",36,1980,"Hexagrammos_supercilosus",2
"Actinopterygii",36,1980,"Hexagrammos_decagrammos",3
"Actinopterygii",36,1980,"Gibbonsia_montereyensis",5
"Actinopterygii",36,1980,"Apodichthys_flavidus",10
"Actinopterygii",36,1980,"Gibbonsia_metzi",20
"Actinopterygii",36,1980,"Scorpaenichthys_marmoratus",24
"Actinopterygii",36,1980,"Oligocottus_snyderi",33
"Actinopterygii",36,1980,"Sebastes_rastrelliger",42
"Actinopterygii",37,1980,"Hexagrammos_decagrammos",1
"Actinopterygii",37,1980,"Clinocottus_analis",2
"Actinopterygii",37,1980,"Hexagrammos_decagrammos",2
"Actinopterygii",37,1980,"Gibbonsia_metzi",2
"Actinopterygii",37,1980,"Hexagrammos_supercilosus",2
"Actinopterygii",37,1980,"Gibbonsia_montereyensis",4
"Actinopterygii",37,1980,"Scorpaenichthys_marmoratus",25
"Actinopterygii",37,1980,"Sebastes_rastrelliger",29
"Actinopterygii",37,1980,"Oligocottus_snyderi",31
"Actinopterygii",37,1980,"Apodichthys_flavidus",41
"Actinopterygii",38,1981,"Clinocottus_analis",1
"Actinopterygii",38,1981,"Hexagrammos_decagrammos",2
"Actinopterygii",38,1981,"Anoplarchus_purpurescens",2
"Actinopterygii",38,1981,"Clinocottus_globiceps",3
"Actinopterygii",38,1981,"Liparis_florae",3
"Actinopterygii",38,1981,"Oligocottus_maculosus",4
"Actinopterygii",38,1981,"Ascelichthys_rhodorus",5
"Actinopterygii",38,1981,"Gobiesox_meandricus",5
"Actinopterygii",38,1981,"Artedius_lateralis",6
"Actinopterygii",38,1981,"Gibbonsia_montereyensis",8
"Actinopterygii",38,1981,"Scorpaenichthys_marmoratus",11
"Actinopterygii",38,1981,"Sebastes_rastrelliger",13
"Actinopterygii",38,1981,"Gibbonsia_metzi",23
"Actinopterygii",38,1981,"Apodichthys_flavidus",31
"Actinopterygii",38,1981,"Oligocottus_snyderi",106
"Actinopterygii",39,1981,"Clinocottus_analis",1
"Actinopterygii",39,1981,"Enophrys_bison",1
"Actinopterygii",39,1981,"Oligocottus_maculosus",2
"Actinopterygii",39,1981,"Ascelichthys_rhodorus",2
"Actinopterygii",39,1981,"Gobiesox_meandricus",3
"Actinopterygii",39,1981,"Artedius_lateralis",4
"Actinopterygii",39,1981,"Liparis_florae",4
"Actinopterygii",39,1981,"Anoplarchus_purpurescens",4
"Actinopterygii",39,1981,"Clinocottus_globiceps",6
"Actinopterygii",39,1981,"Gibbonsia_montereyensis",6
"Actinopterygii",39,1981,"Sebastes_rastrelliger",9
"Actinopterygii",39,1981,"Gibbonsia_metzi",12
"Actinopterygii",39,1981,"Scorpaenichthys_marmoratus",17
"Actinopterygii",39,1981,"Apodichthys_flavidus",82
"Actinopterygii",39,1981,"Oligocottus_snyderi",117
"Actinopterygii",148,NA,"Salvelinus_fontinalis",1
"Actinopterygii",148,NA,"Prosopium_williamsoni",1
"Actinopterygii",148,NA,"Lepomis_cyanellus",1
"Actinopterygii",148,NA,"Gila_bicolor",2
"Actinopterygii",148,NA,"Salmo_clarki",3
"Actinopterygii",148,NA,"Richardsonius_egregius",9
"Actinopterygii",148,NA,"Catostomus_platyrhynchus",10
"Actinopterygii",148,NA,"Cottus_beldingi",10
"Actinopterygii",148,NA,"Salmo_gairdneri",13
"Actinopterygii",148,NA,"Rhinichthys_osculus",15
"Actinopterygii",148,NA,"Salmo_trutta",18
"Actinopterygii",148,NA,"Catostomus_tahoensis",19
"Actinopterygii",167,1989,"Lepomis_gulosus",3
"Actinopterygii",167,1989,"Pomoxis_annularis",6
"Actinopterygii",167,1989,"Micropterus_salmoides",6
"Actinopterygii",167,1989,"Notemigonus_chrysoleucas",6
"Actinopterygii",167,1989,"Phenacobius_mirabilis",41
"Actinopterygii",167,1989,"Notropis_potteri",45
"Actinopterygii",167,1989,"Lepomis_macrochirus",67
"Actinopterygii",167,1989,"Lepomis_cyanellus",157
"Actinopterygii",167,1989,"Lepomis_humilis",233
"Actinopterygii",167,1989,"Macrhybopsis_aestivalis",270
"Actinopterygii",167,1989,"Notropis_atherinoides",301
"Actinopterygii",167,1989,"Gambusia_affinis",318
"Actinopterygii",167,1989,"Lepomis_megalotis",329
"Actinopterygii",167,1989,"Cyprinodon_rubrofluviatilis",362
"Actinopterygii",167,1989,"Pimephales_vigilax",665
"Actinopterygii",167,1989,"Pimephales_promelas",720
"Actinopterygii",167,1989,"Notropis_ludibundus",745
"Actinopterygii",167,1989,"Hybognathups_lacitus",2138
"Actinopterygii",167,1989,"Fundulus_zebrinus",2370
"Actinopterygii",167,1989,"Notropis_bairdi",3761
"Actinopterygii",167,1989,"Cyprinella_lutrensis",23324
"Actinopterygii",168,1994,"Carpiodes_carpio",1
"Actinopterygii",168,1994,"Ameiurus_natalis",1
"Actinopterygii",168,1994,"Ictalurus_punctatus",1
"Actinopterygii",168,1994,"Percina_caprodes",1
"Actinopterygii",168,1994,"Percina_macrolepida",1
"Actinopterygii",168,1994,"Aplodinotus_grunniens",1
"Actinopterygii",168,1994,"Ictalurus_furcatus",2
"Actinopterygii",168,1994,"Lepomis_gulosus",4
"Actinopterygii",168,1994,"Dorosoma_petenense",6
"Actinopterygii",168,1994,"Cyprinus_carpio",6
"Actinopterygii",168,1994,"Lepomis_macrochirus",7
"Actinopterygii",168,1994,"Lepisosteus_oculatus",7
"Actinopterygii",168,1994,"Ictiobus_bubalus",7
"Actinopterygii",168,1994,"Gambusia_affinis",49
"Actinopterygii",168,1994,"Dorosoma_cepedianum",137
"Actinopterygii",168,1994,"Pomoxis_annularis",146
"Actinopterygii",169,1994,"Lepisosteus_osseus",1
"Actinopterygii",169,1994,"Cyprinella_venusta",1
"Actinopterygii",169,1994,"Ameiurus_natalis",1
"Actinopterygii",169,1994,"Noturus_gyrinus",1
"Actinopterygii",169,1994,"Cyprinus_carpio",2
"Actinopterygii",169,1994,"Carpiodes_carpio",2
"Actinopterygii",169,1994,"Etheostoma_gracile",2
"Actinopterygii",169,1994,"Lepomis_humilis",4
"Actinopterygii",169,1994,"Lepisosteus_oculatus",6
"Actinopterygii",169,1994,"Ictalurus_punctatus",10
"Actinopterygii",169,1994,"Ictiobus_bubalus",14
"Actinopterygii",169,1994,"Lepomis_megalotis",18
"Actinopterygii",169,1994,"Micropterus_salmoides",23
"Actinopterygii",169,1994,"Menidia_beryllina",45
"Actinopterygii",169,1994,"Dorosoma_petenense",113
"Actinopterygii",169,1994,"Lepomis_gulosus",118
"Actinopterygii",169,1994,"Lepomis_macrochirus",119
"Actinopterygii",169,1994,"Opsopoeodus_emiliae",298
"Actinopterygii",169,1994,"Dorosoma_cepedianum",353
"Actinopterygii",169,1994,"Gambusia_affinis",492
"Actinopterygii",169,1994,"Pomoxis_annularis",1367
"Actinopterygii",170,1994,"Cyprinus_carpio",1
"Actinopterygii",170,1994,"Ameiurus_natalis",1
"Actinopterygii",170,1994,"Etheostoma_gracile",1
"Actinopterygii",170,1994,"Cyprinella_venusta",2
"Actinopterygii",170,1994,"Lepisosteus_oculatus",3
"Actinopterygii",170,1994,"Lepomis_macrochirus",9
"Actinopterygii",170,1994,"Notropis_shumardi",10
"Actinopterygii",170,1994,"Ictiobus_bubalus",13
"Actinopterygii",170,1994,"Lepomis_gulosus",27
"Actinopterygii",170,1994,"Pomoxis_annularis",28
"Actinopterygii",170,1994,"Menidia_beryllina",35
"Actinopterygii",170,1994,"Lepomis_humilis",86
"Actinopterygii",170,1994,"Notemigonus_chrysoleucas",111
"Actinopterygii",170,1994,"Gambusia_affinis",1142
"Actinopterygii",171,1994,"Lepomis_humilis",1
"Actinopterygii",171,1994,"Pomoxis_annularis",1
"Actinopterygii",171,1994,"Ameiurus_melas",1
"Actinopterygii",171,1994,"Ameiurus_natalis",1
"Actinopterygii",171,1994,"Cyprinus_carpio",2
"Actinopterygii",171,1994,"Lepomis_gulosus",3
"Actinopterygii",171,1994,"Dorosoma_cepedianum",3
"Actinopterygii",171,1994,"Cyprinella_venusta",3
"Actinopterygii",171,1994,"Lepomis_macrochirus",18
"Actinopterygii",171,1994,"Menidia_beryllina",124
"Actinopterygii",171,1994,"Gambusia_affinis",3083
"Actinopterygii",172,1994,"Lepomis_cyanellus",1
"Actinopterygii",172,1994,"Ameiurus_melas",1
"Actinopterygii",172,1994,"Morone_chrysops",1
"Actinopterygii",172,1994,"Percina_macrolepida",1
"Actinopterygii",172,1994,"Ictiobus_bubalus",2
"Actinopterygii",172,1994,"Percina_caprodes",2
"Actinopterygii",172,1994,"Lepisosteus_oculatus",3
"Actinopterygii",172,1994,"Notropis_shumardi",3
"Actinopterygii",172,1994,"Etheostoma_gracile",3
"Actinopterygii",172,1994,"Cyprinella_venusta",4
"Actinopterygii",172,1994,"Gambusia_affinis",5
"Actinopterygii",172,1994,"Notemigonus_chrysoleucas",8
"Actinopterygii",172,1994,"Etheostoma_chlorosomum",9
"Actinopterygii",172,1994,"Labidesthes_sicculus",13
"Actinopterygii",172,1994,"Micropterus_salmoides",14
"Actinopterygii",172,1994,"Lepomis_gulosus",15
"Actinopterygii",172,1994,"Lepomis_megalotis",23
"Actinopterygii",172,1994,"Lepomis_microlophus",25
"Actinopterygii",172,1994,"Dorosoma_cepedianum",27
"Actinopterygii",172,1994,"Fundulus_notatus",40
"Actinopterygii",172,1994,"Lepomis_humilis",56
"Actinopterygii",172,1994,"Lepomis_macrochirus",87
"Actinopterygii",172,1994,"Dorosoma_petenense",92
"Actinopterygii",172,1994,"Opsopoeodus_emiliae",139
