"site","year","sp","ab"
128,1990,"Terrapene_ornata",1
128,1990,"Rana_catesbeiana",1
128,1990,"Bufo_woodhousii",4
128,1990,"Acris_crepitans",5
128,1990,"Gastrophryne_olivicea",15
130,1993,"Terrapene_ornata",1
130,1993,"Pseudacris_triseriata",1
130,1993,"Bufo_americanus",1
130,1993,"Bufo_woodhousii",2
130,1993,"Acris_crepitans",3
132,1995,"Terrapene_ornata",1
132,1995,"Rana_blairi",3
132,1995,"Gastrophryne_olivicea",4
132,1995,"Acris_crepitans",50
133,1996,"Acris_crepitans",12
134,1997,"Terrapene_ornata",1
134,1997,"Rana_blairi",1
134,1997,"Acris_crepitans",39
135,1998,"Terrapene_ornata",1
135,1998,"Rana_blairi",5
135,1998,"Acris_crepitans",22
136,1999,"Terrapene_ornata",1
136,1999,"Rana_blairi",2
136,1999,"Acris_crepitans",28
137,2000,"Rana_blairi",1
137,2000,"Gastrophryne_olivicea",2
137,2000,"Rana_catesbeiana",2
137,2000,"Bufo_woodhousii",3
137,2000,"Terrapene_ornata",3
137,2000,"Acris_crepitans",19
138,2001,"Terrapene_ornata",1
138,2001,"Rana_blairi",1
138,2001,"Bufo_americanus",1
138,2001,"Acris_crepitans",52
139,2002,"Gastrophryne_olivicea",1
139,2002,"Acris_crepitans",22
140,2003,"Bufo_americanus",1
140,2003,"Rana_blairi",3
140,2003,"Rana_catesbeiana",3
140,2003,"Gastrophryne_olivicea",7
140,2003,"Acris_crepitans",87
494,1993,"Rana_catesbeiana",3
494,1993,"Hemidactylium_scutatum",3
494,1993,"Rana_septentrionalis",3
494,1993,"Eurycea_bislineata",15
494,1993,"Pseudacris_crucifer",26
494,1993,"Ambystoma_laterale",28
494,1993,"Bufo_americanus",135
494,1993,"Rana_clamitans",135
494,1993,"Rana_pipiens",147
494,1993,"Rana_palustris",150
494,1993,"Plethodon_cinereus",230
494,1993,"Ambystoma_maculatum",358
494,1993,"Rana_sylvatica",515
494,1993,"Notophthalmus_viridescens",646
498,1978,"Rana_clamitans",1
498,1978,"Eurycea_quadridigitata",2
498,1978,"Ambystoma_opacum",2
498,1978,"Plethodon_glutinosus",7
498,1978,"Hyla_gratiosa",13
498,1978,"Rana_utricularia",16
498,1978,"Ambystoma_talpoideum",61
498,1978,"Notophthalmus_viridescens",652
498,1978,"Gastrophryne_carolinenesis",692
498,1978,"Bufo_terrestris",975
499,1978,"Hyla_cinerea",1
499,1978,"Rana_clamitans",2
499,1978,"Plethodon_glutinosus",3
499,1978,"Rana_catesbeiana",4
499,1978,"Scaphiopus_holbrooki",4
499,1978,"Rana_utricularia",23
499,1978,"Hyla_gratiosa",32
499,1978,"Ambystoma_talpoideum",189
499,1978,"Bufo_terrestris",537
499,1978,"Gastrophryne_carolinenesis",707
499,1978,"Notophthalmus_viridescens",988
500,1978,"Rana_clamitans",1
500,1978,"Ambystoma_opacum",1
500,1978,"Hyla_versicolor",1
500,1978,"Rana_catesbeiana",2
500,1978,"Scaphiopus_holbrooki",3
500,1978,"Eurycea_quadridigitata",8
500,1978,"Hyla_gratiosa",13
500,1978,"Rana_utricularia",40
500,1978,"Plethodon_glutinosus",71
500,1978,"Ambystoma_talpoideum",144
500,1978,"Gastrophryne_carolinenesis",812
500,1978,"Bufo_terrestris",1112
500,1978,"Notophthalmus_viridescens",1426
501,2002,"Phrynomantis_bifasciatus",8
501,2002,"Bufo_gutturalis",23
501,2002,"Xenopus_laevis",26
501,2002,"Phrynobatrachus_natalensis",27
501,2002,"Hemisus_marmoratus",27
501,2002,"Ptychadena_mascareniensis",31
501,2002,"Bufo_garmani",32
501,2002,"Bufo_maculates",37
501,2002,"Ptychadena_anchietae",57
501,2002,"Ptychadena_porosissima",71
501,2002,"Hyperolius_viridiflavus",91
502,2006,"Ischnocnema_octavioi",1
502,2006,"Proceratophrys_appendiculata",1
502,2006,"Thoropa_miliaris",1
502,2006,"Leptodactylus_marmoratus",1
502,2006,"Crossodactylus_aeneus",2
502,2006,"Hylodes_pipilans",2
502,2006,"Rhinella_ornata",2
502,2006,"Myersiella_microps",2
502,2006,"Haddadus_binotatus",3
502,2006,"Ischnocnema_parva",5
502,2006,"Rhinella_icterica",5
502,2006,"Proceratophrys_boiei",7
502,2006,"Ischnocnema_guentheri",11
502,2006,"Zachaenus_parvulus",16
502,2006,"Brachycephalus_didactylus",28
502,2006,"Euparkerella_brasiliensis",89
507,1994,"Ambystoma_tigrinum",19
507,1994,"Ambystoma_laterale",19
507,1994,"Rana_catesbeiana",42
507,1994,"Rana_pipiens",42
507,1994,"Hyla_chrysoscelis",49
507,1994,"Bufo_fowleri",93
507,1994,"Rana_clamitans",125
507,1994,"Bufo_americanus",192
507,1994,"Hyla_versicolor",315
507,1994,"Pseudacris_triseriata",363
507,1994,"Pseudacris_crucifer",458
508,1995,"Ambystoma_laterale",21
508,1995,"Hyla_chrysoscelis",21
508,1995,"Ambystoma_tigrinum",22
508,1995,"Rana_catesbeiana",29
508,1995,"Rana_pipiens",33
508,1995,"Bufo_fowleri",47
508,1995,"Rana_clamitans",56
508,1995,"Hyla_versicolor",74
508,1995,"Bufo_americanus",89
508,1995,"Pseudacris_triseriata",237
508,1995,"Pseudacris_crucifer",341
509,1996,"Siren_intermedia",3
509,1996,"Notophthalmus_viridescens",4
509,1996,"Ambystoma_tigrinum",11
509,1996,"Rana_pipiens",13
509,1996,"Ambystoma_laterale",24
509,1996,"Rana_catesbeiana",46
509,1996,"Hyla_chrysoscelis",46
509,1996,"Bufo_americanus",56
509,1996,"Bufo_fowleri",101
509,1996,"Rana_clamitans",121
509,1996,"Pseudacris_triseriata",228
509,1996,"Hyla_versicolor",247
509,1996,"Pseudacris_crucifer",338
510,1997,"Siren_intermedia",1
510,1997,"Notophthalmus_viridescens",3
510,1997,"Ambystoma_laterale",16
510,1997,"Ambystoma_tigrinum",17
510,1997,"Rana_pipiens",23
510,1997,"Rana_catesbeiana",25
510,1997,"Hyla_chrysoscelis",58
510,1997,"Bufo_fowleri",102
510,1997,"Rana_clamitans",109
510,1997,"Bufo_americanus",157
510,1997,"Hyla_versicolor",273
510,1997,"Pseudacris_triseriata",369
510,1997,"Pseudacris_crucifer",767
511,1998,"Notophthalmus_viridescens",1
511,1998,"Siren_intermedia",8
511,1998,"Ambystoma_tigrinum",12
511,1998,"Ambystoma_laterale",15
511,1998,"Rana_catesbeiana",30
511,1998,"Rana_pipiens",31
511,1998,"Hyla_chrysoscelis",40
511,1998,"Rana_clamitans",100
511,1998,"Bufo_fowleri",251
511,1998,"Bufo_americanus",541
511,1998,"Hyla_versicolor",624
511,1998,"Pseudacris_triseriata",741
511,1998,"Pseudacris_crucifer",1271
512,1999,"Siren_intermedia",2
512,1999,"Acris_blanchardi",5
512,1999,"Ambystoma_tigrinum",8
512,1999,"Notophthalmus_viridescens",9
512,1999,"Ambystoma_laterale",13
512,1999,"Hyla_chrysoscelis",18
512,1999,"Rana_catesbeiana",25
512,1999,"Rana_pipiens",37
512,1999,"Rana_clamitans",86
512,1999,"Bufo_fowleri",115
512,1999,"Hyla_versicolor",309
512,1999,"Bufo_americanus",324
512,1999,"Pseudacris_triseriata",572
512,1999,"Pseudacris_crucifer",596
513,2000,"Notophthalmus_viridescens",2
513,2000,"Ambystoma_laterale",5
513,2000,"Ambystoma_tigrinum",6
513,2000,"Acris_blanchardi",6
513,2000,"Hyla_versicolor",20
513,2000,"Rana_pipiens",23
513,2000,"Rana_catesbeiana",50
513,2000,"Bufo_americanus",61
513,2000,"Rana_clamitans",70
513,2000,"Hyla_chrysoscelis",104
513,2000,"Bufo_fowleri",218
513,2000,"Pseudacris_triseriata",414
513,2000,"Pseudacris_crucifer",714
514,2001,"Ambystoma_laterale",3
514,2001,"Siren_intermedia",3
514,2001,"Notophthalmus_viridescens",10
514,2001,"Acris_blanchardi",14
514,2001,"Ambystoma_tigrinum",17
514,2001,"Rana_catesbeiana",20
514,2001,"Hyla_chrysoscelis",33
514,2001,"Rana_pipiens",59
514,2001,"Bufo_fowleri",135
514,2001,"Hyla_versicolor",195
514,2001,"Rana_clamitans",205
514,2001,"Bufo_americanus",222
514,2001,"Pseudacris_triseriata",477
514,2001,"Pseudacris_crucifer",745
515,2002,"Notophthalmus_viridescens",1
515,2002,"Siren_intermedia",1
515,2002,"Ambystoma_laterale",2
515,2002,"Ambystoma_tigrinum",9
515,2002,"Hyla_chrysoscelis",17
515,2002,"Rana_catesbeiana",24
515,2002,"Acris_blanchardi",25
515,2002,"Rana_pipiens",50
515,2002,"Bufo_fowleri",100
515,2002,"Rana_clamitans",128
515,2002,"Hyla_versicolor",227
515,2002,"Bufo_americanus",521
515,2002,"Pseudacris_triseriata",634
515,2002,"Pseudacris_crucifer",925
516,2003,"Siren_intermedia",3
516,2003,"Notophthalmus_viridescens",5
