"site","year","sp","ab"
"Andersen_1986_01","Andersen_1986_01","Aphaenogaster_longiceps",1
"Andersen_1986_01","Andersen_1986_01","Chelaner_flavigaster",1
"Andersen_1986_01","Andersen_1986_01","Rhytidoponera_tasmaniensis",12
"Andersen_1986_01","Andersen_1986_01","Solenopsis_sp.A.",1
"Andersen_1986_01","Andersen_1986_01","Epopostruma_sp.A",1
"Andersen_1986_01","Andersen_1986_01","Iridomyrmex_bicknelli",6
"Andersen_1986_01","Andersen_1986_01","Iridomyrmex_vicinasp.B.",2
"Andersen_1986_01","Andersen_1986_01","Monomorium_sp.A.",1
"Andersen_1986_01","Andersen_1986_01","Myrmecia_nigriscapa",2
"Andersen_1986_01","Andersen_1986_01","Myrmecia_pilosula",2
"Andersen_1986_01","Andersen_1986_01","Notoncus_hickmani",30
"Andersen_1986_01","Andersen_1986_01","Pheidole_sp.2E.",2
"Andersen_1986_02","Andersen_1986_02","Aphaenogaster_longiceps",4
"Andersen_1986_02","Andersen_1986_02","Camponotus_?intrepidus",2
"Andersen_1986_02","Andersen_1986_02","Polyrhachis_hexacanthiasp.B",3
"Andersen_1986_02","Andersen_1986_02","Rhytidoponera_tasmaniensis",68
"Andersen_1986_02","Andersen_1986_02","Solenopsis_sp.A.",1
"Andersen_1986_02","Andersen_1986_02","Chelaner_flavigaster",1
"Andersen_1986_02","Andersen_1986_02","Chelaner_kiliani",14
"Andersen_1986_02","Andersen_1986_02","Colobostruma_?ellioti",1
"Andersen_1986_02","Andersen_1986_02","Iridomyrmex_bicknelli",11
"Andersen_1986_02","Andersen_1986_02","Iridomyrmex_nitidicepssp.C.",14
"Andersen_1986_02","Andersen_1986_02","Iridomyrmex_vicinasp.B.",5
"Andersen_1986_02","Andersen_1986_02","Notoncus_hickmani",39
"Andersen_1986_02","Andersen_1986_02","Platythyrea_turneri",2
"Andersen_1986_03","Andersen_1986_03","Chelaner_flavigaster",1
"Andersen_1986_03","Andersen_1986_03","Iridomyrmex_vicinasp.C.",1
"Andersen_1986_03","Andersen_1986_03","Iridomyrmex_vicinasp.E.",63
"Andersen_1986_03","Andersen_1986_03","Myrmecia_forficata",1
"Andersen_1986_03","Andersen_1986_03","Myrmecia_pilosula",1
"Andersen_1986_03","Andersen_1986_03","Notoncus_hickmani",36
"Andersen_1986_03","Andersen_1986_03","Solenopsis_sp.D.",4
"Andersen_1986_04","Andersen_1986_04","Aphaenogaster_longiceps",18
"Andersen_1986_04","Andersen_1986_04","Camponotus_consobrinus",1
"Andersen_1986_04","Andersen_1986_04","Pheidole_sp.1A",27
"Andersen_1986_04","Andersen_1986_04","Pheidole_sp.2B.",2
"Andersen_1986_04","Andersen_1986_04","Pheidole_sp.3A.",7
"Andersen_1986_04","Andersen_1986_04","Polyrhachis_micans",1
"Andersen_1986_04","Andersen_1986_04","Prolasius_nigersp.B.",11
"Andersen_1986_04","Andersen_1986_04","Rhytidoponera_tasmaniensis",17
"Andersen_1986_04","Andersen_1986_04","Rhytidoponera_victoriae",55
"Andersen_1986_04","Andersen_1986_04","Solenopsis_sp.A.",3
"Andersen_1986_04","Andersen_1986_04","Stigmacros_(Campostigmacros)sp.A.",1
"Andersen_1986_04","Andersen_1986_04","Camponotus_?intrepidus",1
"Andersen_1986_04","Andersen_1986_04","Crematogaster_sp.A.",5
"Andersen_1986_04","Andersen_1986_04","Heteroponera_imbellis",26
"Andersen_1986_04","Andersen_1986_04","Iridomyrmex_bicknelli",1
"Andersen_1986_04","Andersen_1986_04","Iridomyrmex_nitidicepssp.C.",105
"Andersen_1986_04","Andersen_1986_04","Iridomyrmex_vicinasp.F.",1
"Andersen_1986_04","Andersen_1986_04","Notoncus_spinisquamis",5
"Andersen_1986_04","Andersen_1986_04","Paratrechina_sp.B.",2
"Andersen_1986_05","Andersen_1986_05","Amblyopone_longidens",1
"Andersen_1986_05","Andersen_1986_05","Aphaenogaster_longiceps",24
"Andersen_1986_05","Andersen_1986_05","Paratrechina_sp.A.",1
"Andersen_1986_05","Andersen_1986_05","Pheidole_sp.1A",2
"Andersen_1986_05","Andersen_1986_05","Plagiolepis_sp.A.",4
"Andersen_1986_05","Andersen_1986_05","Rhytidoponera_tasmaniensis",23
"Andersen_1986_05","Andersen_1986_05","Rhytidoponera_victoriae",69
"Andersen_1986_05","Andersen_1986_05","Solenopsis_sp.",2
"Andersen_1986_05","Andersen_1986_05","Solenopsis_sp.A.",16
"Andersen_1986_05","Andersen_1986_05","Camponotus_consobrinus",1
"Andersen_1986_05","Andersen_1986_05","Camponotus_?innexus",1
"Andersen_1986_05","Andersen_1986_05","Chelaner_kiliani",6
"Andersen_1986_05","Andersen_1986_05","Crematogaster_sp.A.",4
"Andersen_1986_05","Andersen_1986_05","Heteroponera_imbellis",3
"Andersen_1986_05","Andersen_1986_05","Iridomyrmex_foetanssp.A.",1
"Andersen_1986_05","Andersen_1986_05","Iridomyrmex_nitidicepssp.C.",20
"Andersen_1986_05","Andersen_1986_05","Notoncus_spinisquamis",1
"Andersen_1986_06","Andersen_1986_06","Chelaner_?sculpturatus",13
"Andersen_1986_06","Andersen_1986_06","Chelaner_kiliani",28
"Andersen_1986_06","Andersen_1986_06","Rhytidoponera_victoriae",6
"Andersen_1986_06","Andersen_1986_06","Solenopsis_sp.D.",4
"Andersen_1986_06","Andersen_1986_06","Strumigenys_perplexa",13
"Andersen_1986_06","Andersen_1986_06","Discothyrea_bidens",1
"Andersen_1986_06","Andersen_1986_06","Iridomyrmex_nitidicepssp.C.",18
"Andersen_1986_06","Andersen_1986_06","Notoncus_hickmani",1
"Andersen_1986_06","Andersen_1986_06","Notoncus_spinisquamis",35
"Andersen_1986_06","Andersen_1986_06","Paraparatrechina_minutula",1
"Andersen_1986_06","Andersen_1986_06","Prolasius_?abruptus",1
"Andersen_1986_06","Andersen_1986_06","Prolasius_nigersp.A.",1
"Andersen_1986_06","Andersen_1986_06","Rhytidoponera_tasmaniensis",1
"Andersen_1986_07","Andersen_1986_07","Amblyopone_australis",1
"Andersen_1986_07","Andersen_1986_07","Camponotus_?innexus",5
"Andersen_1986_07","Andersen_1986_07","Solenopsis_sp.D.",15
"Andersen_1986_07","Andersen_1986_07","Strumigenys_perplexa",1
"Andersen_1986_07","Andersen_1986_07","Chelaner_?sculpturatus",9
"Andersen_1986_07","Andersen_1986_07","Iridomyrmex_foetanssp.C.",2
"Andersen_1986_07","Andersen_1986_07","Iridomyrmex_glabersp.B.",4
"Andersen_1986_07","Andersen_1986_07","Iridomyrmex_nitidicepssp.C.",6
"Andersen_1986_07","Andersen_1986_07","Myrmecia_forficata",1
"Andersen_1986_07","Andersen_1986_07","Notoncus_spinisquamis",1
"Andersen_1986_07","Andersen_1986_07","Pheidole_sp.4B.",5
"Andersen_1986_07","Andersen_1986_07","Prolasius_nigersp.A.",47
"Andersen_1986_08","Andersen_1986_08","Camponotus_?innexus",1
"Andersen_1986_08","Andersen_1986_08","Chelaner_?sculpturatus",8
"Andersen_1986_08","Andersen_1986_08","Prolasius_flavicornis",1
"Andersen_1986_08","Andersen_1986_08","Prolasius_nigersp.A.",37
"Andersen_1986_08","Andersen_1986_08","Prolasius_pallidussp.B.",3
"Andersen_1986_08","Andersen_1986_08","Prolasius_sp.A.",2
"Andersen_1986_08","Andersen_1986_08","Prolasius_sp.B.",2
"Andersen_1986_08","Andersen_1986_08","Solenopsis_sp.D.",84
"Andersen_1986_08","Andersen_1986_08","Solenopsis_sp.E.",1
"Andersen_1986_08","Andersen_1986_08","Strumigenys_perplexa",7
"Andersen_1986_08","Andersen_1986_08","Hypoponera_sp.C.",1
"Andersen_1986_08","Andersen_1986_08","Iridomyrmex_foetanssp.C.",33
"Andersen_1986_08","Andersen_1986_08","Iridomyrmex_vicinasp.D.",1
"Andersen_1986_08","Andersen_1986_08","Myrmecia_pulchra",2
"Andersen_1986_08","Andersen_1986_08","Myrmecorhynchus_sp.B.",1
"Andersen_1986_08","Andersen_1986_08","Notoncus_spinisquamis",6
"Andersen_1986_08","Andersen_1986_08","Pheidole_sp.1A",2
"Andersen_1986_08","Andersen_1986_08","Prolasius_bruneussp.B.",4
"Andersen_1986_09","Andersen_1986_09","Amblyopone_australis",1
"Andersen_1986_09","Andersen_1986_09","Chelaner_?sculpturatus",3
"Andersen_1986_09","Andersen_1986_09","Prolasius_nigersp.A.",24
"Andersen_1986_09","Andersen_1986_09","Prolasius_pallidussp.A.",1
"Andersen_1986_09","Andersen_1986_09","Prolasius_pallidussp.B.",2
"Andersen_1986_09","Andersen_1986_09","Prolasius_sp.A.",2
"Andersen_1986_09","Andersen_1986_09","Solenopsis_sp.D.",108
"Andersen_1986_09","Andersen_1986_09","Strumigenys_perplexa",5
"Andersen_1986_09","Andersen_1986_09","Discothyrea_bidens",1
"Andersen_1986_09","Andersen_1986_09","Iridomyrmex_foetanssp.C.",18
"Andersen_1986_09","Andersen_1986_09","Iridomyrmex_nitidicepssp.C.",4
"Andersen_1986_09","Andersen_1986_09","Myrmecorhynchus_sp.B.",1
"Andersen_1986_09","Andersen_1986_09","Notoncus_spinisquamis",1
"Andersen_1986_09","Andersen_1986_09","Pheidole_sp.1A",3
