"class","site","year","sp","ab"
"Arachnida",10,1980,"Callobius_sp.",5
"Arachnida",10,1980,"Dictyna_muraria",1
"Arachnida",10,1980,"Erigone_antumnalis",1
"Arachnida",10,1980,"maculata_sp.",12
"Arachnida",10,1980,"Lycosa_helluo",1
"Arachnida",10,1980,"Marpissa_lineata",1
"Arachnida",10,1980,"Zygoballus_bettini",1
"Arachnida",10,1980,"Islandia_sp.",1
"Arachnida",10,1980,"Centromerus_latidens",2
"Arachnida",10,1980,"Circurina_robusta",2
"Arachnida",10,1980,"Drassyllus_virginianus",2
"Arachnida",10,1980,"Litopyllus_temporarius",2
"Arachnida",10,1980,"Tegenaria_sp.",1
"Arachnida",10,1980,"Bathyphantes_pallida",3
"Arachnida",10,1980,"Pholcomma_hirsutum",3
"Arachnida",10,1980,"Philodromus_marxi",3
"Arachnida",10,1980,"Eris_marginata",3
"Arachnida",10,1980,"Ceraticelus_fissiceps",4
"Arachnida",10,1980,"Xysticus_ferox",4
"Arachnida",10,1980,"Phrurotimpus_borealis",5
"Arachnida",10,1980,"Aglenopis_pennsylvanica",8
"Arachnida",10,1980,"Anyphaena_celer",8
"Arachnida",10,1980,"Pisaurina_mira",9
"Arachnida",10,1980,"Castianeira_cingulata",10
"Arachnida",10,1980,"Xysticus_fraternus",10
"Arachnida",10,1980,"Eperigone_maculata",12
"Arachnida",10,1980,"Neriene_varibilis",14
"Arachnida",10,1980,"Mysmena_guttata",14
"Arachnida",10,1980,"Steatoda_albomaculata",15
"Arachnida",10,1980,"Theridion_frondeum",16
"Arachnida",10,1980,"Wadotes_calcaratus",19
"Arachnida",10,1980,"Phrurotimpus_alarius",25
"Arachnida",10,1980,"Centromerus_cornipalpus",30
"Arachnida",10,1980,"Lepthyphantes_zebra",33
"Arachnida",10,1980,"Schizocosa_ocreata",34
"Arachnida",10,1980,"Microneta_viaria",39
"Arachnida",10,1980,"Helophora_insignis",50
"Arachnida",10,1980,"Pirata_minutus",103
"Arachnida",10,1980,"Neoantistea_magna",340
"Arachnida",11,1980,"Bathyphantes_pallida",1
"Arachnida",11,1980,"Corniculari_sp.",1
"Arachnida",11,1980,"Euryopis_limbata",1
"Arachnida",11,1980,"Dolomedes_sp.",1
"Arachnida",11,1980,"Drassyllus_virginianus",1
"Arachnida",11,1980,"Eris_marginata",1
