"site","year","sp","ab"
4001,2016,530,2
4001,2016,540,19
4001,2016,590,387
4001,2016,1250,1
4001,2016,1400,3
4001,2016,1420,2
4001,2016,1870,1
4001,2016,2140,1
4001,2016,2490,2
4001,2016,2580,1
4001,2016,2610,2
4001,2016,2640,2
4001,2016,2730,5
4001,2016,3080,3
4001,2016,3091,5
4001,2016,3131,6
4001,2016,3160,12
4001,2016,3310,2
4001,2016,3420,3
4001,2016,3570,1
4001,2016,4440,1
4001,2016,4470,2
4001,2016,4740,23
4001,2016,4750,4
4001,2016,4880,5
4001,2016,4930,1
4001,2016,4950,60
4001,2016,4980,56
4001,2016,5011,60
4001,2016,5100,60
4001,2016,5290,1
4001,2016,5400,13
4001,2016,5420,13
4001,2016,5460,3
4001,2016,5610,21
4001,2016,6050,1
4001,2016,6120,1
4001,2016,6130,7
4001,2016,6140,12
4001,2016,6810,1
4001,2016,6882,24
4001,2016,7610,17
4002,2016,10,9
4002,2016,20,1
4002,2016,530,1
4002,2016,540,10
4002,2016,590,5
4002,2016,640,2
4002,2016,1200,4
4002,2016,1250,6
4002,2016,1320,35
4002,2016,1350,8
4002,2016,1370,4
4002,2016,1400,3
4002,2016,1410,2
4002,2016,1430,1
4002,2016,1490,4
4002,2016,1720,1
4002,2016,2240,3
4002,2016,2300,7
4002,2016,2490,1
4002,2016,2580,1
4002,2016,2630,19
4002,2016,2730,6
4002,2016,2881,13
4002,2016,3091,2
4002,2016,3160,34
4002,2016,3370,2
4002,2016,3420,1
4002,2016,3750,1
4002,2016,4440,2
4002,2016,4470,10
4002,2016,4620,1
4002,2016,4670,2
4002,2016,4740,52
4002,2016,4750,2
4002,2016,4880,15
4002,2016,4930,35
4002,2016,4950,54
4002,2016,4970,3
4002,2016,4980,90
4002,2016,5011,135
4002,2016,5100,25
4002,2016,5110,14
4002,2016,5290,1
4002,2016,5330,4
4002,2016,5380,1
4002,2016,5400,42
4002,2016,5420,35
4002,2016,5610,7
4002,2016,6120,325
4002,2016,6130,17
4002,2016,6140,1
4002,2016,6270,1
4002,2016,6520,5
4002,2016,6882,95
4002,2016,7050,1
4002,2016,7210,10
4002,2016,7610,60
4002,2016,22860,17
4003,2016,30,4
4003,2016,40,60
4003,2016,530,3
4003,2016,590,5
4003,2016,1320,33
4003,2016,1350,13
4003,2016,1370,4
4003,2016,1400,5
4003,2016,1420,14
4003,2016,1430,2
4003,2016,1460,1
4003,2016,1490,14
4003,2016,1720,86
4003,2016,2210,1
4003,2016,2250,1
4003,2016,2490,3
4003,2016,2580,8
4003,2016,2640,8
4003,2016,2730,7
4003,2016,3080,2
4003,2016,3160,4
4003,2016,3310,4
4003,2016,3370,1
4003,2016,3420,5
4003,2016,3480,10
4003,2016,3750,3
4003,2016,4440,2
4003,2016,4570,2
4003,2016,4740,30
4003,2016,4860,1
4003,2016,4930,15
4003,2016,4950,44
4003,2016,4970,4
4003,2016,4980,16
4003,2016,5011,64
4003,2016,5100,14
4003,2016,5380,6
4003,2016,5390,2
4003,2016,5400,14
4003,2016,5420,17
4003,2016,5610,2
