"class","site","year","sp","ab"
"Coleoptera",65,NA,"Patrobus_longicornus",1
"Coleoptera",65,NA,"Agonum_crenistriatum",1
"Coleoptera",65,NA,"Amara_aenea",1
"Coleoptera",65,NA,"Selenophorus_granarius",1
"Coleoptera",65,NA,"Chlaenius_pensylvanicus",1
"Coleoptera",65,NA,"Bradycellus_sp.",1
"Coleoptera",65,NA,"Bembidion_americanumn",2
"Coleoptera",65,NA,"Elaphropous_anceps",2
"Coleoptera",65,NA,"Anisodactylus_sanctaectrucis",2
"Coleoptera",65,NA,"Clivina_impressifrons",3
"Coleoptera",65,NA,"Agonum_subsericeum",3
"Coleoptera",65,NA,"Pterostichus_lucublandus",3
"Coleoptera",65,NA,"Stenolophus_comma",8
"Coleoptera",65,NA,"Stenolophus_leoconti",10
"Coleoptera",65,NA,"Clivina_bipustulata",11
"Coleoptera",65,NA,"Bembidion_rapidum",25
"Coleoptera",65,NA,"Pterostichus_chalcites",46
"Coleoptera",66,NA,"Pterostichus_lucublandus",1
"Coleoptera",66,NA,"Pterostichus_stygicus",1
"Coleoptera",66,NA,"Stenolophus_leoconti",2
"Coleoptera",66,NA,"Stenolophus_comma",2
"Coleoptera",66,NA,"Elaphropous_anceps",3
"Coleoptera",66,NA,"Anisodactylus_sanctaectrucis",3
"Coleoptera",66,NA,"Clivina_bipustulata",4
"Coleoptera",66,NA,"Clivina_impressifrons",9
"Coleoptera",66,NA,"Bembidion_quadrimaculatum",9
"Coleoptera",66,NA,"Bembidion_rapidum",22
"Coleoptera",66,NA,"Pterostichus_chalcites",43
"Coleoptera",67,NA,"Scarites_substriatus",1
"Coleoptera",67,NA,"Bembidion_quadrimaculatum",1
"Coleoptera",67,NA,"Pterostichus_chalcites",1
"Coleoptera",67,NA,"Pterostichus_stygicus",1
"Coleoptera",67,NA,"Anisodactylus_rusticus",1
"Coleoptera",67,NA,"Anisodactylus_ovularis",1
"Coleoptera",67,NA,"Anisodactylus_sanctaectrucis",1
"Coleoptera",67,NA,"Loxandrus_sp.",1
"Coleoptera",67,NA,"Pterostichus_lucublandus",9
"Coleoptera",67,NA,"Harpalus_sp.",15
"Coleoptera",67,NA,"Evarthus_seximpressus",22
"Coleoptera",68,NA,"Pterostichus_stygicus",1
"Coleoptera",68,NA,"Loxandrus_sp.",1
"Coleoptera",68,NA,"Bembidion_quadrimaculatum",2
"Coleoptera",68,NA,"Anisodactylus_sanctaectrucis",2
"Coleoptera",68,NA,"Clivina_impressifrons",3
"Coleoptera",68,NA,"Scarites_substriatus",7
"Coleoptera",68,NA,"Evarthus_seximpressus",9
"Coleoptera",68,NA,"Pterostichus_chalcites",9
"Coleoptera",68,NA,"Pterostichus_lucublandus",12
"Coleoptera",68,NA,"Harpalus_sp.",13
"Coleoptera",72,NA,"Agonum_subsericeum",1
"Coleoptera",72,NA,"Amara_aenea",1
"Coleoptera",72,NA,"Abacidus_permundus",2
"Coleoptera",72,NA,"Clivina_impressifrons",3
"Coleoptera",72,NA,"Bembidion_rapidum",3
"Coleoptera",72,NA,"Elaphropous_anceps",3
"Coleoptera",72,NA,"Evarthus_seximpressus",3
"Coleoptera",72,NA,"Pterostichus_lucublandus",3
"Coleoptera",72,NA,"Scarites_substriatus",7
"Coleoptera",72,NA,"Evarthus_sodalis",9
"Coleoptera",72,NA,"Pterostichus_chalcites",32
"Coleoptera",72,NA,"Bembidion_quadrimaculatum",97
