"site","year","sp","ab"
"NLA06608-0001",2007,"Achnanthidium",2.509746971
"NLA06608-0001",2007,"Amphora",5.019493942
"NLA06608-0001",2007,"Aulacoseira",5.019493942
"NLA06608-0001",2007,"Chlorophyta",8.784114398
"NLA06608-0001",2007,"Coelastrum microporum",20.07797577
"NLA06608-0001",2007,"Cryptomonas",7.529240912
"NLA06608-0001",2007,"Cryptomonas sp. 4",1.254873485
"NLA06608-0001",2007,"Cyclotella",102.8996258
"NLA06608-0001",2007,"Cymbella",3.764620456
"NLA06608-0001",2007,"Diatoms (dead)",23.84259622
"NLA06608-0001",2007,"Fragilaria",2.509746971
"NLA06608-0001",2007,"Gomphonema",2.509746971
"NLA06608-0001",2007,"Komma",1.254873485
"NLA06608-0001",2007,"Leptolyngbya",30.11696365
"NLA06608-0001",2007,"Navicula",1.254873485
"NLA06608-0001",2007,"Nitzschia",1.254873485
"NLA06608-0001",2007,"Oocystis solitaria",7.529240912
"NLA06608-0001",2007,"Pinnularia",2.509746971
"NLA06608-0001",2007,"Surirella",2.509746971
"NLA06608-0001",2007,"Trachelomonas",5.019493942
"NLA06608-0002",2007,"Anabaena",59.75672642
"NLA06608-0002",2007,"Aphanocapsa",13.94323617
"NLA06608-0002",2007,"Aphanocapsa",298.7836321
"NLA06608-0002",2007,"Aphanothece",478.0538114
"NLA06608-0002",2007,"Chroococcus",398.3781762
"NLA06608-0002",2007,"Chrysophyte",9.959454404
"NLA06608-0002",2007,"Cryptomonas",9.959454404
"NLA06608-0002",2007,"Dinobryon",1.991890881
"NLA06608-0002",2007,"Euglena",45.81349026
"NLA06608-0002",2007,"Frustulia",3.983781762
"NLA06608-0002",2007,"Kirchneriella",1852.458519
"NLA06608-0002",2007,"Kirchneriella contorta",1625.382959
"NLA06608-0002",2007,"Limnothrix",65.73239907
"NLA06608-0002",2007,"Mallomonas",55.77294466
"NLA06608-0002",2007,"Microcystis",4661.024661
"NLA06608-0002",2007,"Oscillatoria",29.87836321
"NLA06608-0002",2007,"Peridinium",1.991890881
"NLA06608-0002",2007,"Phacus",3.983781762
"NLA06608-0002",2007,"Platydorina",99.59454404
"NLA06608-0002",2007,"Scenedesmus",7.967563523
"NLA06608-0002",2007,"Selenastrum",41.8297085
"NLA06608-0002",2007,"Spirulina",41.8297085
"NLA06608-0002",2007,"Synura",47.80538114
"NLA06608-0002",2007,"Trachelomonas",37.84592673
"NLA06608-0002",2007,"Unknown alga",1728.961285
"NLA06608-0003",2007,"Achnanthidium",48.25396825
"NLA06608-0003",2007,"Chromulina",193.015873
"NLA06608-0003",2007,"Chroococcus",386.031746
"NLA06608-0003",2007,"Chroomonas acuta",337.7777778
"NLA06608-0003",2007,"Cosmarium",48.25396825
"NLA06608-0003",2007,"Cryptomonas",579.047619
"NLA06608-0003",2007,"Discostella",48.25396825
"NLA06608-0003",2007,"Gymnodinium sp. (large)",96.50793651
"NLA06608-0003",2007,"Gymnodinium sp. (small)",144.7619048
"NLA06608-0003",2007,"Heterocontophyta",3812.063492
"NLA06608-0003",2007,"Lyngbya",14958.73016
"NLA06608-0003",2007,"Merismopedia",193.015873
"NLA06608-0003",2007,"Microcystis",22148.57143
"NLA06608-0003",2007,"Navicula",96.50793651
"NLA06608-0003",2007,"Peridinium",193.015873
"NLA06608-0003",2007,"Planktosphaeria",241.2698413
"NLA06608-0003",2007,"Pyrenomonas",241.2698413
"NLA06608-0003",2007,"Raphidiopsis",723.8095238
"NLA06608-0003",2007,"Scenedesmus",144.7619048
"NLA06608-0003",2007,"Tetraedron",144.7619048
"NLA06608-0003",2007,"Treubaria",48.25396825
"NLA06608-0004",2007,"Anabaena",506.7661549
"NLA06608-0004",2007,"Asterionella formosa",23.08251637
"NLA06608-0004",2007,"Aulacoseira granulata",88.13324434
"NLA06608-0004",2007,"Chromulina",3.147615869
"NLA06608-0004",2007,"Cryptomonas",46.16503275
"NLA06608-0004",2007,"Dactylococcopsis",3.147615869
"NLA06608-0004",2007,"Diatoms",101.7729131
"NLA06608-0004",2007,"Diatoms (dead)",38.82059572
"NLA06608-0004",2007,"Diatoms - centric",48.26344333
"NLA06608-0004",2007,"Diatoms - naviculoid",3.147615869
"NLA06608-0004",2007,"Diatoms - nitzschioid",5.246026449
"NLA06608-0004",2007,"Dinobryon",14.68887406
"NLA06608-0004",2007,"Gomphonema",1.04920529
"NLA06608-0004",2007,"Kirchneriella",58.75549622
"NLA06608-0004",2007,"Komma",3.147615869
"NLA06608-0004",2007,"Mallomonas",2.098410579
"NLA06608-0004",2007,"Ochromonas",18.88569521
"NLA06608-0004",2007,"Oocystis",13.63966877
"NLA06608-0004",2007,"Scenedesmus",4.196821159
"NLA06608-0004",2007,"Scenedesmus",16.78728464
"NLA06608-0004",2007,"Sellaphora",1.04920529
"NLA06608-0004",2007,"Sphaerocystis",12.59046348
"NLA06608-0004",2007,"Staurastrum",1.04920529
"NLA06608-0004",2007,"Synechocystis",12.59046348
"NLA06608-0004",2007,"Synedra",26.23013224
"NLA06608-0004",2007,"Trachelomonas",31.47615869
"NLA06608-0005",2007,"Achnanthidium",4.119241192
"NLA06608-0005",2007,"Asterionella formosa",14.82926829
"NLA06608-0005",2007,"Chlorella",3.295392954
"NLA06608-0005",2007,"Chromulina",0.823848238
"NLA06608-0005",2007,"Chroomonas acuta",8.238482385
"NLA06608-0005",2007,"Chrysochromulina",16.47696477
"NLA06608-0005",2007,"Chrysosphaerella",16.47696477
"NLA06608-0005",2007,"Coccomyxa",0.823848238
"NLA06608-0005",2007,"Cryptomonas",1.647696477
"NLA06608-0005",2007,"Cymbella",1.647696477
"NLA06608-0005",2007,"Diatoms (dead)",2.471544715
"NLA06608-0005",2007,"Dinobryon",92.27100271
"NLA06608-0005",2007,"Discostella",1.647696477
"NLA06608-0005",2007,"Gymnodinium sp. (large)",3.295392954
"NLA06608-0005",2007,"Gymnodinium sp. (small)",1.647696477
"NLA06608-0005",2007,"Heterocontophyta",260.3360434
"NLA06608-0005",2007,"Lyngbya",12.35772358
"NLA06608-0005",2007,"Microcystis",55.19783198
"NLA06608-0005",2007,"Navicula",2.471544715
"NLA06608-0005",2007,"Oocystis",1.647696477
"NLA06608-0005",2007,"Oscillatoria sp. (small)",2.471544715
"NLA06608-0005",2007,"Peridinium",2.471544715
"NLA06608-0005",2007,"Pyrenomonas",11.53387534
"NLA06608-0005",2007,"Scenedesmus",0.823848238
"NLA06608-0005",2007,"Staurosira construens",13.18157182
"NLA06608-0005",2007,"Synedra",0.823848238
"NLA06608-0005",2007,"Tetraedron",3.295392954
"NLA06608-0006",2007,"Anabaena",1035.783258
"NLA06608-0006",2007,"Ankistrodesmus",3.983781762
"NLA06608-0006",2007,"Aphanocapsa",23.90269057
"NLA06608-0006",2007,"Asterionella",25.89458145
"NLA06608-0006",2007,"Chrysophyta 2",163.3350522
"NLA06608-0006",2007,"Chrysophyte",23.90269057
"NLA06608-0006",2007,"Cryptomonas",13.94323617
"NLA06608-0006",2007,"Cylindrospermopsis",131.4647981
"NLA06608-0006",2007,"Diatoms (dead)",7.967563523
"NLA06608-0006",2007,"Dinobryon",37.84592673
"NLA06608-0006",2007,"Nephrocytium",7.967563523
"NLA06608-0006",2007,"Nitzschia",57.76483554
"NLA06608-0006",2007,"Peridinium",5.975672642
"NLA06608-0006",2007,"Selenastrum",125.4891255
"NLA06608-0006",2007,"Synedra",3.983781762
"NLA06608-0006",2007,"Tabellaria",37.84592673
"NLA06608-0006",2007,"Trachelomonas",9.959454404
"NLA06608-0006",2007,"Volvox",199.1890881
"NLA06608-0007",2007,"Anabaena",20.96576911
"NLA06608-0007",2007,"Aphanizomenon",68.88752709
"NLA06608-0007",2007,"Aphanocapsa",2198.410647
"NLA06608-0007",2007,"Aphanothece",531.6320025
"NLA06608-0007",2007,"Chlamydomonas",16.4731043
"NLA06608-0007",2007,"Chlorophyta Filament",200.6723615
"NLA06608-0007",2007,"Chroococcus",8.98532962
"NLA06608-0007",2007,"Chroomonas acuta/komma",124.2970597
"NLA06608-0007",2007,"Cosmarium",4.49266481
"NLA06608-0007",2007,"Crucigenia",1.497554937
"NLA06608-0007",2007,"Cryptomonas",34.44376354
"NLA06608-0007",2007,"Diatoms (dead)",1.497554937
"NLA06608-0007",2007,"Dinobryon",23.96087899
"NLA06608-0007",2007,"Gloeocystis",305.5012071
"NLA06608-0007",2007,"Merismopedia",733.801919
"NLA06608-0007",2007,"Oocystis",13.47799443
"NLA06608-0007",2007,"Peridinium",4.49266481
"NLA06608-0007",2007,"Quadrigula",10.48288456
"NLA06608-0007",2007,"Rhabdoderma",34.44376354
"NLA06608-0007",2007,"Rhabdoglea",20.96576911
"NLA06608-0007",2007,"Scenedesmus",122.7995048
"NLA06608-0007",2007,"Spondylosium",1.497554937
"NLA06608-0007",2007,"Tabellaria",16.4731043
"NLA06608-0008",2007,"Anabaena",1324.607436
"NLA06608-0008",2007,"Chlamydomonas",2.987836321
"NLA06608-0008",2007,"Chlorella",2.987836321
"NLA06608-0008",2007,"Chlorophyta coccoid",22.90674513
"NLA06608-0008",2007,"Chroococcus",79.67563523
"NLA06608-0008",2007,"Cosmarium",0.99594544
"NLA06608-0008",2007,"Cryptomonas",20.91485425
"NLA06608-0008",2007,"Diatoms (dead)",4.979727202
"NLA06608-0008",2007,"Eremosphaera",0.99594544
"NLA06608-0008",2007,"Gloeocapsa",7.967563523
"NLA06608-0008",2007,"Gloeocystis",0.99594544
"NLA06608-0008",2007,"Kirchneriella",4.979727202
"NLA06608-0008",2007,"Limnothrix",10.95539984
"NLA06608-0008",2007,"Microcystis",1434.161434
"NLA06608-0008",2007,"Nitzschia",5.975672642
"NLA06608-0008",2007,"Oocystis",8.963508964
"NLA06608-0008",2007,"Oscillatoria",642.3848091
"NLA06608-0008",2007,"Phacus",0.99594544
"NLA06608-0008",2007,"Platydorina",49.79727202
"NLA06608-0008",2007,"Scenedesmus",7.967563523
"NLA06608-0008",2007,"Sphaerocystis",10.95539984
"NLA06608-0008",2007,"Synedra",14.93918161
"NLA06608-0008",2007,"Trachelomonas",0.99594544
"NLA06608-0010",2007,"Anabaena",866.962963
"NLA06608-0010",2007,"Ankistrodesmus",9.007407407
"NLA06608-0010",2007,"Aphanizomenon",675.5555556
"NLA06608-0010",2007,"Botryococcus",6.755555556
"NLA06608-0010",2007,"Ceratium",4.503703704
"NLA06608-0010",2007,"Chlorella",9.007407407
"NLA06608-0010",2007,"Chroococcus",31.52592593
"NLA06608-0010",2007,"Chroomonas acuta",18.01481481
"NLA06608-0010",2007,"Chrysochromulina",13.51111111
"NLA06608-0010",2007,"Crucigenia",9.007407407
"NLA06608-0010",2007,"Cryptomonas",58.54814815
"NLA06608-0010",2007,"Diatoms (dead)",9.007407407
"NLA06608-0010",2007,"Fragilaria crotonensis",54.04444444
"NLA06608-0010",2007,"Gymnodinium sp. (large)",13.51111111
"NLA06608-0010",2007,"Gymnodinium sp. (small)",191.4074074
"NLA06608-0010",2007,"Heterocontophyta",123.8518519
"NLA06608-0010",2007,"Monoraphidium",2.251851852
"NLA06608-0010",2007,"Navicula",2.251851852
"NLA06608-0010",2007,"Oocystis",36.02962963
"NLA06608-0010",2007,"Peridinium",13.51111111
"NLA06608-0010",2007,"Planktosphaeria",45.03703704
"NLA06608-0010",2007,"Pyrenomonas",22.51851852
"NLA06608-0010",2007,"Synechococcus",162.1333333
"NLA06608-0010",2007,"Synechocystis",337.7777778
"NLA06608-0010",2007,"Synedra",11.25925926
"NLA06608-0010",2007,"Tetraedron",2.251851852
