"site","year","sp","ab"
"NLA12_CA-143",2012,4549,6104.5149
"NLA12_CA-143",2012,4416,22257.5896
"NLA12_CA-143",2012,4771,2327230.418
"NLA12_CA-143",2012,4666,8728.932
"NLA12_CA-143",2012,4183,400.6366
"NLA12_CA-143",2012,4557,3956.9048
"NLA12_CA-143",2012,4677,125691.9915
"NLA12_CA-143",2012,4766,3214.9852
"NLA12_CA-143",2012,4875,11573.9466
"NLA12_CA-143",2012,4593,6182.6638
"NLA12_CA-143",2012,4732,1139.5886
"NLA12_CA-143",2012,4411,17311.4586
"NLA12_AZ-101",2012,4183,12859.9406
"NLA12_AZ-101",2012,4874,2344.26
"NLA12_AZ-101",2012,4445,5305.1108
"NLA12_AZ-101",2012,4619,442.0926
"NLA12_AZ-101",2012,4532,50925.3649
"NLA12_AZ-101",2012,4679,3714.3881
"NLA12_AZ-101",2012,4568,394.3715
"NLA12_AZ-101",2012,4214,1989.4166
"NLA12_AZ-101",2012,4794,539035.1286
"NLA12_AZ-101",2012,4756,386.827
"NLA12_AZ-101",2012,4766,3602.3909
"NLA12_AZ-101",2012,4322,151908.0488
"NLA12_AZ-101",2012,4343,7831.7039
"NLA12_AZ-101",2012,4562,85.7329
"NLA12_AZ-101",2012,4557,3086.3858
"NLA12_AZ-101",2012,4510,18904.1127
"NLA12_AZ-101",2012,4593,462.9579
"NLA12_AZ-101",2012,4443,1023.3624
"NLA12_AZ-101",2012,4575,432.9513
"NLA12_AZ-101",2012,4364,1485.3231
"NLA12_AZ-101",2012,4352,2314.7893
"NLA12_AZ-101",2012,4332,34.2932
"NLA12_AZ-101",2012,4360,771.5964
"NLA12_AZ-101",2012,4475,7407.3258
"NLA12_AZ-101",2012,4736,7246.5766
"NLA12_AZ-101",2012,4330,63180.8884
"NLA12_ND-115",2012,4874,19467.9717
"NLA12_ND-115",2012,4622,104842.1499
"NLA12_ND-115",2012,4055,9815.597
"NLA12_ND-115",2012,4183,22969.8325
"NLA12_ND-115",2012,4557,83465.9609
"NLA12_ND-115",2012,4181,24230.0734
"NLA12_ND-115",2012,4559,2319240.834
"NLA12_ND-115",2012,4666,18473.7993
"NLA12_ND-115",2012,4139,80127.3225
"NLA12_ND-115",2012,4182,765661.0813
"NLA12_ND-115",2012,4475,2967.6786
"NLA12_UT-103",2012,4181,274706.0701
"NLA12_UT-103",2012,4557,42270.0658
"NLA12_UT-103",2012,4095,356276.2686
"NLA12_UT-103",2012,4182,9661.7293
"NLA12_UT-103",2012,4875,5032.1507
"NLA12_UT-103",2012,4794,395527.0439
"NLA12_UT-103",2012,4183,5636.0088
"NLA12_UT-103",2012,4562,2038.021
"NLA12_UT-103",2012,4582,181.1574
"NLA12_UT-103",2012,4759,4830.8647
"NLA12_UT-103",2012,4532,314800.397
"NLA12_UT-103",2012,4849,67353.4944
"NLA12_UT-103",2012,4075,7004.7538
"NLA12_AZ-130",2012,4475,10416.5519
"NLA12_AZ-130",2012,4388,2893.4866
"NLA12_AZ-130",2012,4332,8333.2415
"NLA12_AZ-130",2012,4582,12890.483
"NLA12_AZ-130",2012,4568,776.4189
"NLA12_AZ-130",2012,4214,1934.155
"NLA12_AZ-130",2012,4666,8198.2122
"NLA12_AZ-130",2012,4366,24324.5777
"NLA12_AZ-130",2012,4669,33908.0466
"NLA12_AZ-130",2012,4842,100307.537
"NLA12_AZ-130",2012,4442,294.7284
"NLA12_AZ-130",2012,4875,32551.7248
"NLA12_AZ-130",2012,4532,6944.3679
"NLA12_AZ-130",2012,4736,2039.9081
"NLA12_AZ-130",2012,4647,484369.6643
"NLA12_AZ-130",2012,4183,18445.9774
"NLA12_AZ-130",2012,4728,1388.8736
"NLA12_AZ-130",2012,4182,19531.0349
"NLA12_AZ-130",2012,4364,12.0562
"NLA12_AZ-130",2012,4739,106.0945
"NLA12_AZ-130",2012,4557,44006.315
"NLA12_AZ-130",2012,4686,694.4368
"NLA12_AZ-130",2012,4674,24305.2878
"NLA12_AZ-130",2012,4343,9179.5864
"NLA12_AZ-130",2012,4790,485261.8227
"NLA12_AZ-130",2012,4667,260413.798
"NLA12_AZ-130",2012,4445,11512.8273
"NLA12_AZ-130",2012,4675,85109.197
"NLA12_AZ-130",2012,4355,771.5964
"NLA12_FL-101",2012,4723,14063.437
"NLA12_FL-101",2012,4353,72.7921
"NLA12_FL-101",2012,4736,131.0258
"NLA12_FL-101",2012,4366,946.2975
"NLA12_FL-101",2012,4798,27483.974
"NLA12_FL-101",2012,4323,93748.9673
"NLA12_FL-101",2012,4364,363.9606
"NLA12_FL-101",2012,4617,667.3095
"NLA12_FL-101",2012,4842,5456.73
"NLA12_FL-101",2012,4250,9259.1573
"NLA12_FL-101",2012,4874,1612.3454
"NLA12_FL-101",2012,4023,19456.5467
"NLA12_FL-101",2012,4616,1167.7917
"NLA12_FL-101",2012,4388,148.1465
"NLA12_FL-101",2012,4510,8317.8096
"NLA12_FL-101",2012,4183,5241.0324
"NLA12_FL-101",2012,4875,24085.5233
"NLA12_FL-101",2012,4725,5590.4346
"NLA12_FL-101",2012,4557,85857.8942
"NLA12_FL-101",2012,4475,2339.5969
"NLA12_FL-101",2012,4182,344990.9586
"NLA12_UT-101",2012,4220,170205.6385
"NLA12_UT-101",2012,4732,622.0996
"NLA12_UT-101",2012,4700,59027.1275
"NLA12_UT-101",2012,4395,2864.5518
"NLA12_UT-101",2012,4721,12056.1944
"NLA12_UT-101",2012,4183,165429.0942
"NLA12_UT-101",2012,4559,4822.4777
"NLA12_UT-101",2012,4875,77159.6439
"NLA12_UT-101",2012,4736,983.7855
"NLA12_UT-101",2012,4557,45009.7922
"NLA12_UT-101",2012,4075,183254.1541
"NLA12_UT-101",2012,4794,38579.8219
"NLA12_UT-101",2012,4790,72337.1661
"NLA12_UT-101",2012,4874,2411.2389
"NLA12_UT-101",2012,4816,122539.1594
"NLA12_UT-101",2012,4545,111360.656
"NLA12_UT-101",2012,4095,156826.9761
"NLA12_UT-101",2012,4850,32870.9877
"NLA12_ND-112",2012,4874,551.37
"NLA12_ND-112",2012,4559,478510.3538
"NLA12_ND-112",2012,4168,241123.887
"NLA12_ND-112",2012,4416,1455616.681
"NLA12_ND-112",2012,4388,7175.8469
"NLA12_ND-112",2012,4766,208851.866
"NLA12_ND-112",2012,4438,19297.9484
"NLA12_ND-112",2012,4343,1678.2223
"NLA12_ND-112",2012,4679,15185.0179
"NLA12_ND-112",2012,4568,88.4121
"NLA12_ND-112",2012,4798,27005.8753
"NLA12_ND-112",2012,4318,272262.6258
"NLA12_ND-112",2012,4189,13502.9377
"NLA12_ND-112",2012,4393,3580.6897
"NLA12_ND-112",2012,4505,25719.8813
"NLA12_ND-112",2012,4557,22684935.29
"NLA12_FL-123",2012,4582,555.5494
"NLA12_FL-123",2012,4239,2186.1899
"NLA12_FL-123",2012,4343,223.763
"NLA12_FL-123",2012,4574,108.0235
"NLA12_FL-123",2012,4182,125384.4213
"NLA12_FL-123",2012,4875,16203.5252
"NLA12_FL-123",2012,4575,31828.3531
"NLA12_FL-123",2012,4306,3737.4588
"NLA12_FL-123",2012,4874,81645.1911
