"site","year","sp","ab"
"NLA12_CA-143",2012,4549,11.3357
"NLA12_CA-143",2012,4416,340.0712
"NLA12_CA-143",2012,4771,34.0071
"NLA12_CA-143",2012,4666,253.1641
"NLA12_CA-143",2012,4183,3.7786
"NLA12_CA-143",2012,4557,3.7786
"NLA12_CA-143",2012,4677,1296.0492
"NLA12_CA-143",2012,4766,392.9712
"NLA12_CA-143",2012,4875,7.5571
"NLA12_CA-143",2012,4593,94.4642
"NLA12_CA-143",2012,4732,120.9142
"NLA12_CA-143",2012,4411,132.2499
"NLA12_AZ-101",2012,4183,204.6725
"NLA12_AZ-101",2012,4874,286.5415
"NLA12_AZ-101",2012,4445,24.5607
"NLA12_AZ-101",2012,4619,130.9904
"NLA12_AZ-101",2012,4532,245.607
"NLA12_AZ-101",2012,4679,98.2428
"NLA12_AZ-101",2012,4568,753.1947
"NLA12_AZ-101",2012,4214,8.1869
"NLA12_AZ-101",2012,4794,24.5607
"NLA12_AZ-101",2012,4756,384.7843
"NLA12_AZ-101",2012,4766,2947.2838
"NLA12_AZ-101",2012,4322,40.9345
"NLA12_AZ-101",2012,4343,171.9249
"NLA12_AZ-101",2012,4562,8.1869
"NLA12_AZ-101",2012,4557,16.3738
"NLA12_AZ-101",2012,4510,73.6821
"NLA12_AZ-101",2012,4593,32.7476
"NLA12_AZ-101",2012,4443,8.1869
"NLA12_AZ-101",2012,4575,1653.7537
"NLA12_AZ-101",2012,4364,90.0559
"NLA12_AZ-101",2012,4352,49.1214
"NLA12_AZ-101",2012,4332,8.1869
"NLA12_AZ-101",2012,4360,98.2428
"NLA12_AZ-101",2012,4475,360.2236
"NLA12_AZ-101",2012,4736,1318.0908
"NLA12_AZ-101",2012,4330,24.5607
"NLA12_ND-115",2012,4874,634.7996
"NLA12_ND-115",2012,4622,3128.6551
"NLA12_ND-115",2012,4055,17.0036
"NLA12_ND-115",2012,4183,11.3357
"NLA12_ND-115",2012,4557,28.3393
"NLA12_ND-115",2012,4181,17.0036
"NLA12_ND-115",2012,4559,5905.9033
"NLA12_ND-115",2012,4666,470.4318
"NLA12_ND-115",2012,4139,22.6714
"NLA12_ND-115",2012,4182,243.7177
"NLA12_ND-115",2012,4475,22.6714
"NLA12_UT-103",2012,4181,224.2499
"NLA12_UT-103",2012,4557,12.8143
"NLA12_UT-103",2012,4095,96.1071
"NLA12_UT-103",2012,4182,6.4071
"NLA12_UT-103",2012,4875,3.2036
"NLA12_UT-103",2012,4794,19.2214
"NLA12_UT-103",2012,4183,25.6286
"NLA12_UT-103",2012,4562,172.9927
"NLA12_UT-103",2012,4582,12.8143
"NLA12_UT-103",2012,4759,32.0357
"NLA12_UT-103",2012,4532,807.2995
"NLA12_UT-103",2012,4849,86.4964
"NLA12_UT-103",2012,4075,19.2214
"NLA12_AZ-130",2012,4475,221.0463
"NLA12_AZ-130",2012,4388,36.841
"NLA12_AZ-130",2012,4332,9.2103
"NLA12_AZ-130",2012,4582,911.8159
"NLA12_AZ-130",2012,4568,1482.8522
"NLA12_AZ-130",2012,4214,18.4205
"NLA12_AZ-130",2012,4666,156.5745
"NLA12_AZ-130",2012,4366,893.3954
"NLA12_AZ-130",2012,4669,1151.2827
"NLA12_AZ-130",2012,4842,46.0513
"NLA12_AZ-130",2012,4442,36.841
"NLA12_AZ-130",2012,4875,18.4205
"NLA12_AZ-130",2012,4532,92.1026
"NLA12_AZ-130",2012,4736,865.7646
"NLA12_AZ-130",2012,4647,5139.3261
"NLA12_AZ-130",2012,4183,82.8924
"NLA12_AZ-130",2012,4728,110.5231
"NLA12_AZ-130",2012,4182,36.841
"NLA12_AZ-130",2012,4364,9.2103
"NLA12_AZ-130",2012,4739,101.3129
"NLA12_AZ-130",2012,4557,27.6308
"NLA12_AZ-130",2012,4686,221.0463
"NLA12_AZ-130",2012,4674,276.3079
"NLA12_AZ-130",2012,4343,1326.2777
"NLA12_AZ-130",2012,4790,64.4718
"NLA12_AZ-130",2012,4667,921.0262
"NLA12_AZ-130",2012,4445,92.1026
"NLA12_AZ-130",2012,4675,2311.7757
"NLA12_AZ-130",2012,4355,73.6821
"NLA12_FL-101",2012,4723,1119.1337
"NLA12_FL-101",2012,4353,6.9511
"NLA12_FL-101",2012,4736,55.6091
"NLA12_FL-101",2012,4366,34.7557
"NLA12_FL-101",2012,4798,23.8007
"NLA12_FL-101",2012,4323,79.5767
"NLA12_FL-101",2012,4364,6.9511
"NLA12_FL-101",2012,4617,667.3095
"NLA12_FL-101",2012,4842,2.9473
"NLA12_FL-101",2012,4250,11.7891
"NLA12_FL-101",2012,4874,41.7068
"NLA12_FL-101",2012,4023,164.2138
"NLA12_FL-101",2012,4616,145.974
"NLA12_FL-101",2012,4388,23.5783
"NLA12_FL-101",2012,4510,32.4201
"NLA12_FL-101",2012,4183,27.8046
"NLA12_FL-101",2012,4875,5
"NLA12_FL-101",2012,4725,444.873
"NLA12_FL-101",2012,4557,183.0096
"NLA12_FL-101",2012,4475,178.6165
"NLA12_FL-101",2012,4182,24.6348
"NLA12_UT-101",2012,4220,540.3354
"NLA12_UT-101",2012,4732,264.0275
"NLA12_UT-101",2012,4700,1043.8297
"NLA12_UT-101",2012,4395,12.2803
"NLA12_UT-101",2012,4721,122.8035
"NLA12_UT-101",2012,4183,190.3454
"NLA12_UT-101",2012,4559,12.2803
"NLA12_UT-101",2012,4875,18.4205
"NLA12_UT-101",2012,4736,417.5319
"NLA12_UT-101",2012,4557,42.9812
"NLA12_UT-101",2012,4075,98.2428
"NLA12_UT-101",2012,4794,61.4017
"NLA12_UT-101",2012,4790,30.7009
"NLA12_UT-101",2012,4874,36.841
"NLA12_UT-101",2012,4816,6.1402
"NLA12_UT-101",2012,4545,1154.3528
"NLA12_UT-101",2012,4095,405.2515
"NLA12_UT-101",2012,4850,30.7009
"NLA12_ND-112",2012,4874,3.0701
"NLA12_ND-112",2012,4559,386.831
"NLA12_ND-112",2012,4168,3.0701
"NLA12_ND-112",2012,4416,8105.0304
"NLA12_ND-112",2012,4388,110.5231
"NLA12_ND-112",2012,4766,14773.26
"NLA12_ND-112",2012,4438,107.4531
"NLA12_ND-112",2012,4343,36.841
"NLA12_ND-112",2012,4679,589.4568
"NLA12_ND-112",2012,4568,168.8548
"NLA12_ND-112",2012,4798,24.5607
"NLA12_ND-112",2012,4318,52.1915
"NLA12_ND-112",2012,4189,73.6821
"NLA12_ND-112",2012,4393,15.3504
"NLA12_ND-112",2012,4505,49.1214
"NLA12_ND-112",2012,4557,8841.8514
"NLA12_FL-123",2012,4582,39.2971
"NLA12_FL-123",2012,4239,9.8243
"NLA12_FL-123",2012,4343,4.9121
"NLA12_FL-123",2012,4574,206.3099
"NLA12_FL-123",2012,4182,4.9121
"NLA12_FL-123",2012,4875,44.2093
"NLA12_FL-123",2012,4575,1350.8384
"NLA12_FL-123",2012,4306,88.4185
"NLA12_FL-123",2012,4874,304.5527
"NLA12_FL-123",2012,4617,2627.9947
"NLA12_FL-123",2012,4736,34.385
"NLA12_FL-123",2012,4388,4.9121
"NLA12_FL-123",2012,4794,39.2971
"NLA12_FL-123",2012,4475,9.8243
"NLA12_FL-102",2012,4725,15565.3425
"NLA12_FL-102",2012,4402,92.1026
"NLA12_FL-102",2012,4732,35275.3028
"NLA12_FL-102",2012,4322,368.4105
"NLA12_FL-102",2012,4366,644.7183
"NLA12_FL-102",2012,4617,12157.5456
"NLA12_FL-102",2012,4723,23578.2703
"NLA12_FL-102",2012,4790,92.1026
"NLA12_FL-102",2012,4679,89063.2318
"NLA12_FL-102",2012,4220,184.2052
"NLA12_FL-102",2012,4686,276.3079
"NLA12_FL-102",2012,4575,7828.7226
"NLA12_FL-102",2012,4189,92.1026
"NLA12_FL-102",2012,4574,2210.4628
"NLA12_FL-102",2012,4183,644.7183
"NLA12_FL-102",2012,4306,14736.4189
"NLA12_FL-102",2012,4614,3315.6943
"NLA12_FL-102",2012,4214,92.1026
"NLA12_FL-102",2012,4475,2210.4628
"NLA12_FL-102",2012,4557,184.2052
"NLA12_FL-102",2012,4798,184.2052
"NLA12_FL-102",2012,4355,276.3079
"NLA12_FL-102",2012,4578,460.5131
"NLA12_FL-102",2012,4438,276.3079
"NLA12_FL-102",2012,4181,10
"NLA12_FL-102",2012,4582,33433.2504
"NLA12_FL-102",2012,4321,368.4105
"NLA12_FL-102",2012,4568,39880.4337
"NLA12_FL-102",2012,4428,644.7183
"NLA12_GA-112",2012,4332,5.9742
"NLA12_GA-112",2012,4006,1.9914
"NLA12_GA-112",2012,4475,19.9141
"NLA12_GA-112",2012,4679,231.0033
"NLA12_GA-112",2012,4779,9.957
"NLA12_GA-112",2012,4182,9.957
"NLA12_GA-112",2012,4436,53.768
"NLA12_GA-112",2012,4221,1.9914
"NLA12_GA-112",2012,4322,63.7251
"NLA12_GA-112",2012,4341,125.4587
"NLA12_GA-112",2012,4700,1.9914
"NLA12_GA-112",2012,4330,1.9914
"NLA12_GA-112",2012,4582,3.9828
"NLA12_GA-112",2012,4574,557.5942
"NLA12_GA-112",2012,4557,1.9914
"NLA12_GA-112",2012,4732,7.9656
"NLA12_GA-112",2012,4771,5.9742
"NLA12_GA-112",2012,4183,17.9226
"NLA12_GA-112",2012,4725,39.8282
"NLA12_GA-112",2012,4559,31.8625
"NLA12_GA-112",2012,4388,11.9484
"NLA12_GA-112",2012,4875,69.6992
"NLA12_UT-108",2012,4557,80.3805
"NLA12_UT-108",2012,4666,1868.8459
"NLA12_UT-108",2012,4393,314.8235
"NLA12_UT-108",2012,4677,716.7258
"NLA12_UT-108",2012,4183,46.8886
"NLA12_UT-108",2012,4182,33.4919
"NLA12_UT-108",2012,4850,964.5656
"NLA12_UT-108",2012,4075,288.03
"NLA12_UT-108",2012,4023,66.9837
"NLA12_UT-108",2012,4343,66.9837
"NLA12_FL-107",2012,4771,20.0951
"NLA12_FL-107",2012,4666,120.5707
"NLA12_FL-107",2012,4700,80.3805
"NLA12_FL-107",2012,4343,6.6984
"NLA12_FL-107",2012,4794,20.0951
"NLA12_FL-107",2012,4608,20.0951
"NLA12_FL-107",2012,4214,6.6984
"NLA12_FL-107",2012,4593,26.7935
"NLA12_FL-107",2012,4589,40.1902
"NLA12_FL-107",2012,4766,133.9674
"NLA12_FL-107",2012,4574,200.9512
"NLA12_FL-107",2012,4293,20.0951
"NLA12_FL-107",2012,4798,6.6984
"NLA12_FL-107",2012,4182,13.3967
"NLA12_FL-107",2012,4388,66.9837
"NLA12_FL-107",2012,4575,93.7772
"NLA12_FL-107",2012,4760,20.0951
"NLA12_FL-107",2012,4557,6.6984
"NLA12_FL-107",2012,4582,817.2014
"NLA12_FL-107",2012,4355,167.4593
"NLA12_FL-107",2012,4568,1687.9898
"NLA12_FL-110",2012,4874,792.0826
"NLA12_FL-110",2012,4582,313.1489
"NLA12_FL-110",2012,4759,423.6721
"NLA12_FL-110",2012,4355,147.3642
"NLA12_FL-110",2012,4725,16025.8577
"NLA12_FL-110",2012,4779,18.4205
"NLA12_FL-110",2012,4760,165.7847
"NLA12_FL-110",2012,4255,55.2616
"NLA12_FL-110",2012,4532,73.6821
"NLA12_FL-110",2012,4557,36.8411
"NLA12_FL-110",2012,4342,1621.0063
"NLA12_FL-110",2012,4183,73.6821
"NLA12_FL-110",2012,4233,73.6821
"NLA12_FL-110",2012,4568,6152.4557
"NLA12_FL-110",2012,4617,4936.701
"NLA12_FL-110",2012,4348,55.2616
"NLA12_FL-110",2012,4293,36.8411
"NLA12_FL-110",2012,4764,276.3079
"NLA12_FL-110",2012,4143,92.1026
"NLA12_FL-110",2012,4023,36.8411
"NLA12_FL-110",2012,4393,128.9437
"NLA12_FL-110",2012,4575,810.5031
"NLA12_FL-106",2012,4779,1.7971
"NLA12_FL-106",2012,4416,355.8306
"NLA12_FL-106",2012,4189,3.5942
"NLA12_FL-106",2012,4700,21.5655
"NLA12_FL-106",2012,4816,1.7971
"NLA12_FL-106",2012,4732,21.5655
"NLA12_FL-106",2012,4674,429.5128
"NLA12_FL-106",2012,4023,107.8275
"NLA12_FL-106",2012,4557,1.7971
"NLA12_FL-106",2012,4417,25.1597
"NLA12_FL-106",2012,4306,43.131
"NLA12_FL-106",2012,4348,3.5942
"NLA12_FL-104",2012,4616,2947.2842
"NLA12_FL-104",2012,4582,25911.54
"NLA12_FL-104",2012,4798,13.3967
"NLA12_FL-104",2012,4214,13.3967
"NLA12_FL-104",2012,4790,80.3805
