"site","year","sp","ab"
"ACHUPALL","",1,428
"ACHUPALL","",722,3
"ACHUPALL","",723,4
"ACHUPALL","",724,2
"ACHUPALL","",725,2
"ACHUPALL","",759,1
"ACHUPALL","",806,2
"ACHUPALL","",839,9
"ACHUPALL","",877,3
"ACHUPALL","",902,35
"ACHUPALL","",903,13
"ACHUPALL","",904,1
"ACHUPALL","",905,6
"ACHUPALL","",906,1
"ACHUPALL","",986,6
"ACHUPALL","",1045,14
"ACHUPALL","",1250,2
"ACHUPALL","",1264,1
"ACHUPALL","",2070,8
"ACHUPALL","",2351,5
"ACHUPALL","",2528,14
"ACHUPALL","",2529,16
"ACHUPALL","",2530,4
"ACHUPALL","",2531,37
"ACHUPALL","",2532,7
"ACHUPALL","",2665,8
"ACHUPALL","",2845,4
"ACHUPALL","",2889,7
"ACHUPALL","",2890,4
"ACHUPALL","",2891,1
"ACHUPALL","",2892,6
"ACHUPALL","",2893,1
"ACHUPALL","",2930,12
"ACHUPALL","",2994,1
"ACHUPALL","",3318,1
"ACHUPALL","",3320,1
"ACHUPALL","",3321,2
"ACHUPALL","",3418,2
"ACHUPALL","",3419,11
"ACHUPALL","",3637,5
"ACHUPALL","",4727,2
"ACHUPALL","",5046,1
"ACHUPALL","",5277,1
"ACHUPALL","",5407,3
"ACHUPALL","",5408,1
"ACHUPALL","",5580,4
"ACHUPALL","",5640,4
"ACHUPALL","",5660,2
"ACHUPALL","",5891,1
"ACHUPALL","",5910,7
"ACHUPALL","",5919,21
"ACHUPALL","",5920,2
"ACHUPALL","",5921,1
"ACHUPALL","",5922,3
"ACHUPALL","",5923,2
"ACHUPALL","",5924,8
"ACHUPALL","",5925,1
"ACHUPALL","",5926,4
"ACHUPALL","",5954,2
"ACHUPALL","",6775,2
"ACHUPALL","",6917,5
"ACHUPALL","",6928,2
"ACHUPALL","",6929,2
"ACHUPALL","",7106,2
"ACHUPALL","",7117,1
"ACHUPALL","",7122,1
"ACHUPALL","",7411,2
"ACHUPALL","",7590,8
"ACHUPALL","",7607,2
"ACHUPALL","",7609,1
"ACHUPALL","",7840,5
"ACHUPALL","",7959,6
"ACHUPALL","",8005,2
"ACHUPALL","",8184,2
"ACHUPALL","",8260,13
"ACHUPALL","",8261,5
"ACHUPALL","",8262,1
"ACHUPALL","",8263,1
"ACHUPALL","",8264,1
"ACHUPALL","",8339,5
"ACHUPALL","",8497,1
"ACHUPALL","",9293,4
"ACHUPALL","",9294,5
"ACHUPALL","",9302,1
"ACHUPALL","",9309,5
"ACHUPALL","",9334,3
"ACHUPALL","",9755,8
"ALLACHER","",24,1
"ALLACHER","",25,31
"ALLACHER","",1325,2
"ALLACHER","",1335,2
"ALLACHER","",1336,22
"ALLACHER","",1340,1
"ALLACHER","",2838,2
"ALLACHER","",4657,2
"ALLACHER","",4705,33
"ALLACHER","",7367,34
"ALLACHER","",7490,9
"ALLACHER","",7499,1
"ALLACHER","",7818,4
"ALLACHER","",7820,8
"ALLACHER","",7821,1
"ALLACHER","",7822,13
"ALLACHER","",7842,10
"ALLACHER","",7858,2
"ALLACHER","",8520,1
"ALLACHER","",9432,64
"ALLACHER","",9481,5
"ALLPAHUA","",180,1
"ALLPAHUA","",228,1
"ALLPAHUA","",268,1
"ALLPAHUA","",302,1
"ALLPAHUA","",303,1
"ALLPAHUA","",319,1
"ALLPAHUA","",322,1
"ALLPAHUA","",323,1
"ALLPAHUA","",332,1
"ALLPAHUA","",415,1
"ALLPAHUA","",416,1
"ALLPAHUA","",454,1
"ALLPAHUA","",455,1
"ALLPAHUA","",553,2
"ALLPAHUA","",630,1
"ALLPAHUA","",859,1
"ALLPAHUA","",932,1
"ALLPAHUA","",941,4
"ALLPAHUA","",1024,1
"ALLPAHUA","",1045,4
"ALLPAHUA","",1046,1
"ALLPAHUA","",1059,1
"ALLPAHUA","",1063,2
"ALLPAHUA","",1070,2
"ALLPAHUA","",1106,5
"ALLPAHUA","",1148,15
"ALLPAHUA","",1160,1
"ALLPAHUA","",1206,1
"ALLPAHUA","",1217,1
"ALLPAHUA","",1221,1
"ALLPAHUA","",1276,1
"ALLPAHUA","",1389,3
"ALLPAHUA","",1435,2
"ALLPAHUA","",1437,1
"ALLPAHUA","",1443,1
"ALLPAHUA","",1499,2
"ALLPAHUA","",1579,2
"ALLPAHUA","",1582,1
"ALLPAHUA","",1583,2
"ALLPAHUA","",1588,1
"ALLPAHUA","",1707,1
"ALLPAHUA","",1708,1
"ALLPAHUA","",1737,5
"ALLPAHUA","",1749,1
"ALLPAHUA","",1757,1
"ALLPAHUA","",1841,1
"ALLPAHUA","",1861,2
"ALLPAHUA","",1870,1
"ALLPAHUA","",1910,2
"ALLPAHUA","",1916,1
"ALLPAHUA","",1917,1
"ALLPAHUA","",1928,3
"ALLPAHUA","",1951,1
"ALLPAHUA","",1952,1
"ALLPAHUA","",1968,1
"ALLPAHUA","",2114,1
"ALLPAHUA","",2133,1
"ALLPAHUA","",2136,1
"ALLPAHUA","",2163,1
"ALLPAHUA","",2245,1
"ALLPAHUA","",2246,1
"ALLPAHUA","",2300,1
"ALLPAHUA","",2328,1
"ALLPAHUA","",2389,1
"ALLPAHUA","",2429,1
"ALLPAHUA","",2528,1
"ALLPAHUA","",2529,1
"ALLPAHUA","",2530,1
"ALLPAHUA","",2531,1
"ALLPAHUA","",2612,2
"ALLPAHUA","",2630,1
"ALLPAHUA","",2642,1
"ALLPAHUA","",2690,5
"ALLPAHUA","",2691,1
"ALLPAHUA","",2708,1
"ALLPAHUA","",2760,1
"ALLPAHUA","",2766,2
"ALLPAHUA","",2774,1
"ALLPAHUA","",2790,1
"ALLPAHUA","",3016,1
"ALLPAHUA","",3044,1
"ALLPAHUA","",3045,1
"ALLPAHUA","",3095,5
"ALLPAHUA","",3270,1
"ALLPAHUA","",3271,1
"ALLPAHUA","",3346,1
"ALLPAHUA","",3350,1
"ALLPAHUA","",3500,1
"ALLPAHUA","",3501,1
"ALLPAHUA","",3524,1
"ALLPAHUA","",3525,1
"ALLPAHUA","",3559,1
"ALLPAHUA","",3625,1
"ALLPAHUA","",3666,1
"ALLPAHUA","",3671,1
"ALLPAHUA","",3722,8
"ALLPAHUA","",3755,1
"ALLPAHUA","",3842,2
"ALLPAHUA","",3937,1
"ALLPAHUA","",3941,2
"ALLPAHUA","",4044,2
"ALLPAHUA","",4045,1
"ALLPAHUA","",4084,1
"ALLPAHUA","",4123,1
"ALLPAHUA","",4133,1
"ALLPAHUA","",4161,1
"ALLPAHUA","",4163,1
"ALLPAHUA","",4178,1
"ALLPAHUA","",4182,1
"ALLPAHUA","",4207,1
"ALLPAHUA","",4219,1
"ALLPAHUA","",4223,1
"ALLPAHUA","",4231,1
"ALLPAHUA","",4235,1
"ALLPAHUA","",4247,1
"ALLPAHUA","",4264,1
"ALLPAHUA","",4266,1
"ALLPAHUA","",4267,1
"ALLPAHUA","",4270,1
"ALLPAHUA","",4274,1
"ALLPAHUA","",4317,1
"ALLPAHUA","",4318,1
"ALLPAHUA","",4340,6
"ALLPAHUA","",4342,1
"ALLPAHUA","",4343,1
"ALLPAHUA","",4351,1
"ALLPAHUA","",4433,1
"ALLPAHUA","",4491,1
"ALLPAHUA","",4493,3
"ALLPAHUA","",4495,1
"ALLPAHUA","",4585,1
"ALLPAHUA","",4596,2
"ALLPAHUA","",4609,1
"ALLPAHUA","",4614,1
"ALLPAHUA","",4621,1
"ALLPAHUA","",4622,2
"ALLPAHUA","",4633,1
"ALLPAHUA","",4760,1
"ALLPAHUA","",4762,1
