"class","site","year","sp","ab"
"Reptilia",22,1978,"Gambelia_wislizeni",12
"Reptilia",22,1978,"Eumeces_gilberti",13
"Reptilia",22,1978,"Cnemidophorus_velox",20
"Reptilia",22,1978,"Cnemidophorus_exanguis",27
"Reptilia",22,1978,"Callisaurus_draconoides",33
"Reptilia",22,1978,"Holbrookia_maculata",40
"Reptilia",22,1978,"Cnemidophorus_tigris",47
"Reptilia",22,1978,"Crotaphytus_collaris",52
"Reptilia",22,1978,"Cophosaurus_texanus",54
"Reptilia",22,1978,"Uta_stansburiana",79
"Reptilia",22,1978,"Urosaurus_ornatus",102
"Reptilia",22,1978,"Sceloporus_undulatus",133
"Reptilia",22,1978,"Sceloporus_magister",145
"Reptilia",23,1978,"Uta_stansburiana",31
"Reptilia",23,1978,"Urosaurus_ornatus",37
"Reptilia",23,1978,"Gambelia_wislizeni",41
"Reptilia",23,1978,"Sceloporus_undulatus",60
"Reptilia",23,1978,"Eumeces_gilberti",67
"Reptilia",23,1978,"Holbrookia_maculata",68
"Reptilia",23,1978,"Sceloporus_magister",70
"Reptilia",23,1978,"Callisaurus_draconoides",89
"Reptilia",23,1978,"Cnemidophorus_velox",92
"Reptilia",23,1978,"Crotaphytus_collaris",94
"Reptilia",23,1978,"Cophosaurus_texanus",103
"Reptilia",23,1978,"Cnemidophorus_exanguis",118
"Reptilia",23,1978,"Cnemidophorus_tigris",126
"Reptilia",24,1978,"Eumeces_gilberti",1
"Reptilia",24,1978,"Cnemidophorus_exanguis",1
"Reptilia",24,1978,"Cnemidophorus_tigris",3
"Reptilia",24,1978,"Gambelia_wislizeni",3
"Reptilia",24,1978,"Cnemidophorus_velox",4
"Reptilia",24,1978,"Phrynosoma_platyrhinos",6
"Reptilia",24,1978,"Cophosaurus_texanus",11
"Reptilia",24,1978,"Holbrookia_maculata",13
"Reptilia",24,1978,"Uta_stansburiana",15
"Reptilia",24,1978,"Urosaurus_ornatus",17
"Reptilia",24,1978,"Crotaphytus_collaris",18
"Reptilia",24,1978,"Sceloporus_magister",39
"Reptilia",24,1978,"Sceloporus_undulatus",43
"Reptilia",25,1978,"Holbrookia_maculata",4
"Reptilia",25,1978,"Uta_stansburiana",4
